Symbol,Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
LTM,LSTM,188.53670820899995,144.16518203480894,2.86159001876924,0.9333766939117352,52.016985138004245,0.5236593059936908,0.6887966804979253,0.5949820788530465
LTM,CNN-LSTM,191.7342593815202,148.27867438338458,2.9578658294348257,0.931097690301964,51.38004246284501,0.5157894736842106,0.8132780082987552,0.6312399355877617
TMPV,LSTM,71.23193407219996,51.90214448335869,6.689304364504272,0.8983078165751285,51.53203342618384,0.4938271604938271,0.1152737752161383,0.1869158878504672
TMPV,CNN-LSTM,87.90562262070927,61.9172954784524,7.8318452562970515,0.845128534474262,51.94986072423399,0.5063291139240507,0.2305475504322766,0.3168316831683168
TMCV,LSTM,29.291807719426828,27.48057101359253,6.419967570527625,-5.166452257172394,45.45454545454545,0.0,0.0,0.0
TMCV,CNN-LSTM,33.72171652123043,32.237622504372915,7.544768772218519,-7.17264003063576,45.45454545454545,0.0,0.0,0.0
RELIANCE_dissertation_metrics,ARIMA,,,,,,,,
RELIANCE_dissertation_metrics,SARIMA,,,,,,,,
RELIANCE_dissertation_metrics,Random Forest,,,,,,,,
RELIANCE_dissertation_metrics,XGBoost,,,,,,,,
RELIANCE_dissertation_metrics,LSTM,,,,,,,,
RELIANCE_dissertation_metrics,CNN-LSTM,,,,,,,,
ADANIENT,ARIMA,685.6273913989527,602.191947901549,26.127746980393106,-3.164270342854404,47.474747474747474,0.4693446088794926,0.961038961038961,0.6306818181818181
ADANIENT,SARIMA,683.0754111474674,599.6116004608446,26.02007883207201,-3.1333282943646346,47.67676767676768,0.4703389830508475,0.961038961038961,0.6315789473684211
ADANIPORTS,ARIMA,191.7398956733589,143.17352377888676,10.869094325080155,-0.10886817980877,49.696969696969695,0.4837758112094395,0.6890756302521008,0.5684575389948007
ADANIPORTS,SARIMA,192.3933717117632,143.9470784715219,10.937223913814815,-0.116439411483219,49.898989898989896,0.4853801169590643,0.6974789915966386,0.5724137931034482
APOLLOHOSP,ARIMA,1095.6858086953769,956.851836796535,12.761277813767812,-3.0117046763427995,50.90909090909091,0.5,0.0329218106995884,0.0617760617760617
APOLLOHOSP,SARIMA,1095.3126749902835,956.405923181696,12.755056374274291,-3.0089727848933494,50.90909090909091,0.5,0.0329218106995884,0.0617760617760617
ASIANPAINT,ARIMA,430.2569776292376,379.4956278837195,15.938090114785682,-1.1425212723399865,49.696969696969695,0.4937027707808564,0.8032786885245902,0.6115444617784711
ASIANPAINT,SARIMA,429.5524188288733,378.9044882054058,15.911917997530889,-1.135510130889597,49.898989898989896,0.4949748743718593,0.8073770491803278,0.6137071651090343
AXISBANK,ARIMA,144.2749930981502,118.08206193364188,10.587432228087025,-0.9842930745832394,52.121212121212125,0.5048543689320388,0.8630705394190872,0.6370597243491577
AXISBANK,SARIMA,141.80733374953985,115.76598595189452,10.37898248355572,-0.91699542004629,51.91919191919192,0.5036855036855037,0.8506224066390041,0.6327160493827161
BAJAJ-AUTO,ARIMA,972.1456729531316,772.0847628144096,8.665365331284054,-0.0211057881445675,51.51515151515152,0.5228758169934641,0.6299212598425197,0.5714285714285714
