Symbol,Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
BAJFINANCE,ARIMA-LSTM,15.118383561299307,10.93348894208556,1.268463162152056,0.9843003674921916,48.38056680161944,0.0,0.0,0.0
BHARTIARTL,ARIMA,429.0361020000198,385.73234895707657,20.529293198399422,-4.216368476073615,49.09090909090909,1.0,0.0039525691699604,0.0078740157480314
BHARTIARTL,SARIMA,428.682444461776,385.341136327479,20.50735554276881,-4.207772240554167,49.09090909090909,1.0,0.0039525691699604,0.0078740157480314
BHARTIARTL,Random Forest,401.5880992366541,361.437125050583,19.12192079365484,-4.241771123835479,49.68287526427061,0.8,0.0165975103734439,0.032520325203252
BHARTIARTL,XGBoost,403.73722057903245,363.8238116264776,19.25439253585687,-4.298024510814492,49.68287526427061,1.0,0.0124481327800829,0.0245901639344262
BHARTIARTL,LSTM,263.6619041244785,234.0992544459942,12.35365780651467,-1.259493830807923,47.99154334038055,0.0,0.0,0.0
BHARTIARTL,CNN-LSTM,243.5228440866033,208.26963524423613,10.894755488110237,-0.9275062991308354,47.99154334038055,0.5,0.032520325203252,0.0610687022900763
BHARTIARTL,ARIMA-LSTM,23.249157447077817,17.236367019223923,0.9637855824307894,0.9845883842548312,51.21457489878543,0.5130023640661938,0.8611111111111112,0.642962962962963
BPCL,ARIMA,50.83224969907732,42.1697399493043,13.11853115847244,-1.114785287428257,53.73737373737374,0.5571428571428572,0.1645569620253164,0.254071661237785
BPCL,SARIMA,51.02199560994874,42.35484991927321,13.174945718751932,-1.130602836092173,53.535353535353536,0.5507246376811594,0.160337552742616,0.2483660130718954
BPCL,Random Forest,30.86613474317192,23.73539632204476,7.617090007005594,0.2431059796940637,53.06553911205074,0.5026737967914439,0.42152466367713,0.4585365853658537
BPCL,XGBoost,39.15281727195536,30.3063891714037,9.453607889173949,-0.2178578891515947,54.12262156448203,0.5241935483870968,0.2914798206278027,0.3746397694524496
BPCL,LSTM,17.57646516921309,12.945021358302748,3.9942374164034735,0.7545666071887897,55.17970401691332,0.5564516129032258,0.3053097345132743,0.3942857142857143
BPCL,CNN-LSTM,20.61239356865585,15.974192394399026,4.900702616393354,0.6624583044226791,53.911205073995774,0.5714285714285714,0.1415929203539823,0.226950354609929
BPCL,ARIMA-LSTM,5.573489163531038,4.142706712915255,1.37248915451509,0.97457140415701,47.97570850202429,0.4782608695652174,0.9788135593220338,0.6425591098748261
BRITANNIA,ARIMA,444.8541766486083,371.6456069400106,6.926245978672806,-0.0001079788506144,51.91919191919192,0.5588235294117647,0.4351145038167939,0.4892703862660944
BRITANNIA,SARIMA,444.9467384010942,372.8351796289505,6.938765588200513,-0.0005242113279395,51.71717171717172,0.5566502463054187,0.4312977099236641,0.486021505376344
